Title,Link,Review,Reviews_Clean,Polarity_Score,sentiment_female lead,sentiment_FL,sentiment_second female lead,sentiment_male lead,sentiment_ML,sentiment_second male lead,sentiment_cast,sentiment_main leads,sentiment_ensemble cast,sentiment_couple,sentiment_side couples,sentiment_plot,sentiment_story,sentiment_beginning,sentiment_ending,sentiment_romance,sentiment_acting,sentiment_kiss,romance,kiss,steamy,comedy,melodrama,wholesome,sad,slow burn,tropey,action,OST,bingeworthy,top,bad
Because This Is My First Life,https://mydramalist.com/24678-because-this-is-my-first-life,Good example of a trope done well. Like that it centers around women. Has some hilarious moments. Good romance and kiss scenes. Like the odd couple dynamic of the leads. Didn’t love the third couple they were kind of annoying,"['good', 'example', 'trope', 'done', 'well', 'like', 'center', 'around', 'woman', 'hilarious', 'moment', 'good', 'romance', 'kiss', 'scene', 'like', 'odd', 'couple', 'dynamic', 'lead', 'didnt', 'love', 'third', 'couple', 'kind', 'annoying']",0.22592592592592592,,,,,,,,,,0.24666666666666665,,,,,,0.3277777777777778,,0.3277777777777778,1,1,0,1,0,0,0,0,1,0,0,0,0,0
Bloodhounds,https://mydramalist.com/701881-hounds,"Plot left something to be desired, and ended quite abruptly. Would have liked more character and plot development. Also super brutal when the grandpa and his two guys were killed off. But LOVED the main two actors and their friendship. Watching them beat up a bunch of criminals was quite satisfying….also the younger one is adorable and very good looking.","['plot', 'left', 'something', 'desired', 'ended', 'quite', 'abruptly', 'would', 'liked', 'character', 'plot', 'development', 'also', 'super', 'brutal', 'grandpa', 'two', 'guy', 'killed', 'loved', 'main', 'two', 'actor', 'friendship', 'watching', 'beat', 'bunch', 'criminal', 'quite', 'satisfyingalso', 'younger', 'one', 'adorable', 'good', 'looking']",0.20916666666666664,,,,,,,,,,,,0.10458333333333332,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brewing Love,https://mydramalist.com/766237-in-the-name-of-alcohol,"I went into this drama not knowing what to expext because the description was weird but I was very pleasantly surprised. The male lead might be the greenest flag ever written in a kdrama. I really enjoyed the aspects of him being an empath and being able to sense other people’s emotions. There were some really raw emotional scenes in this drama. There were also some very sweet slice of life ensemble cast elements to this drama too. Overall I liked both couple romances, though I wish there was a bit more cute time spent focusing on relationship development and cuteness and a little less on the plot surrounding the beer product launch. However, there were some good workplace plot lines in there (and anti-capitalist/pro-worker themes) that I appreciated. A fun main OST song too. Also, the male lead is very pretty. Overall a fun watch with a more healing, slow pace but enough cute moments to keep you invested.","['went', 'drama', 'knowing', 'expext', 'description', 'weird', 'pleasantly', 'surprised', 'male', 'lead', 'might', 'greenest', 'flag', 'ever', 'written', 'kdrama', 'really', 'enjoyed', 'aspect', 'empath', 'able', 'sense', 'people', 'emotion', 'really', 'raw', 'emotional', 'scene', 'drama', 'also', 'sweet', 'slice', 'life', 'ensemble', 'cast', 'element', 'drama', 'overall', 'liked', 'couple', 'romance', 'though', 'wish', 'bit', 'cute', 'time', 'spent', 'focusing', 'relationship', 'development', 'cuteness', 'little', 'less', 'plot', 'surrounding', 'beer', 'product', 'launch', 'however', 'good', 'workplace', 'plot', 'line', 'anticapitalistproworker', 'theme', 'appreciated', 'fun', 'main', 'ost', 'song', 'also', 'male', 'lead', 'pretty', 'overall', 'fun', 'watch', 'healing', 'slow', 'pace', 'enough', 'cute', 'moment', 'keep', 'invested']",0.1620260989010989,,0.03206794871794873,,-0.0012653846153846127,,,0.13983299595141696,,0.13983299595141696,0.15427653229123817,,0.16981103098290595,,,,0.15427653229123817,,,1,0,0,0,1,1,0,1,0,0,1,0,0,0
Business Proposal,https://mydramalist.com/693591-in-house-confrontation,"One of the best rom coms I’ve ever watched. Chemistry between both couples is 10/10. Made me literally LOL. No stupid plot points, just pure fun and satisfaction. Sad it ended.","['one', 'best', 'rom', 'coms', 'ive', 'ever', 'watched', 'chemistry', 'couple', '1010', 'made', 'literally', 'lol', 'stupid', 'plot', 'point', 'pure', 'fun', 'satisfaction', 'sad', 'ended']",0.36904761904761907,,,,,,,,,,0.6214285714285714,,0.36904761904761907,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,1,0
Castaway Diva,https://mydramalist.com/745215-diva-of-the-deserted-island,started off really strong - the first 1-2 episodes especially. but it got kind of boring in the middle/end and i found myself fast forwarding a good amount. sometimes i fast forwarded just to find out what would happen. but this did have some bright spots - the main male lead is very sweet. the female lead is interesting but kind of annoying at times. the scenes with her singing on stage were great though. had a wholesome ending which i appreciated. good kiss scene between the leads too but i wish theyd had more cute couple scenes. the emphasis was not on romance though - it was more on self discovery and family.,"['started', 'really', 'strong', 'first', '12', 'episode', 'especially', 'got', 'kind', 'boring', 'middleend', 'found', 'fast', 'forwarding', 'good', 'amount', 'sometimes', 'fast', 'forwarded', 'find', 'would', 'happen', 'bright', 'spot', 'main', 'male', 'lead', 'sweet', 'female', 'lead', 'interesting', 'kind', 'annoying', 'time', 'scene', 'singing', 'stage', 'great', 'though', 'wholesome', 'ending', 'appreciated', 'good', 'kiss', 'scene', 'lead', 'wish', 'theyd', 'cute', 'couple', 'scene', 'emphasis', 'romance', 'though', 'self', 'discovery', 'family']",0.28204545454545454,0.3071527777777778,,,0.29227272727272724,,,,,,0.38583333333333336,,,,,0.35191176470588237,0.38583333333333336,,0.3738157894736842,1,1,0,0,0,1,0,1,0,0,0,0,0,0
Celebrity,https://mydramalist.com/708775-celebrity,"interesting commentary on social media and influencer culture. started off a tad boring but quickly became super interesting. could be very dramatic at times but was a fun, interesting watch with lots of twists near the end. also loved the junho cameo at the end (even though it was kinda confusing)","['interesting', 'commentary', 'social', 'medium', 'influencer', 'culture', 'started', 'tad', 'boring', 'quickly', 'became', 'super', 'interesting', 'could', 'dramatic', 'time', 'fun', 'interesting', 'watch', 'lot', 'twist', 'near', 'end', 'also', 'loved', 'junho', 'cameo', 'end', 'even', 'though', 'kinda', 'confusing']",0.11972222222222222,,0.1785,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Cheer Up,https://mydramalist.com/715821-cheer-up,"Extremely wholesome show. Some parts made me tear up and smile so much. A bit too much melodrama at times, didn’t love the love triangle. Fast forwarded the scenes with the old couple bc they were boring. Lots of other cute side couples though. And a really wholesome sweet ending.","['extremely', 'wholesome', 'show', 'part', 'made', 'tear', 'smile', 'much', 'bit', 'much', 'melodrama', 'time', 'didnt', 'love', 'love', 'triangle', 'fast', 'forwarded', 'scene', 'old', 'couple', 'bc', 'boring', 'lot', 'cute', 'side', 'couple', 'though', 'really', 'wholesome', 'sweet', 'ending']",0.09999999999999999,,,,,,,,,,0.0784375,0.1715909090909091,,,,0.049999999999999996,,,,1,0,0,0,1,1,1,1,0,0,0,0,0,0
Cheese in the Trap,https://mydramalist.com/14457-cheese-in-the-trap,So bad. So much stalking and violence against women. Male lead is a sociopath and does wrong every episode yet FL stays with him DESPITE the fact that she initially in episode one sees through him and knows he’s manipulative. ML is never held accountable literally throughout the whole series. College drama is boring. All characters suck except for SML who is the only redeeming part of this drama,"['bad', 'much', 'stalking', 'violence', 'woman', 'male', 'lead', 'sociopath', 'wrong', 'every', 'episode', 'yet', 'fl', 'stay', 'despite', 'fact', 'initially', 'episode', 'one', 'see', 'know', 'he', 'manipulative', 'ml', 'never', 'held', 'accountable', 'literally', 'throughout', 'whole', 'series', 'college', 'drama', 'boring', 'character', 'suck', 'except', 'sml', 'redeeming', 'part', 'drama']",-0.14444444444444443,,-0.15499999999999997,,-0.19166666666666662,-0.13749999999999998,,,,,,,,,,,,,,0,0,0,0,1,0,0,1,0,0,0,0,0,1
Chicken Nugget,https://mydramalist.com/707561-chicken-gangjeong,"Plot is utterly ridiculous but oddly heartwarming. I was surprised that this show actually make me tear up on multiple occasions. Also very funny, plus had some good social commentary. All the actors were great too. Definitely an offbeat, quirky show but it was very fun to watch.","['plot', 'utterly', 'ridiculous', 'oddly', 'heartwarming', 'surprised', 'show', 'actually', 'make', 'tear', 'multiple', 'occasion', 'also', 'funny', 'plus', 'good', 'social', 'commentary', 'actor', 'great', 'definitely', 'offbeat', 'quirky', 'show', 'fun', 'watch']",0.11236111111111113,,,,,,,,,,,,0.05618055555555557,,,,,,,0,0,0,1,0,1,1,0,0,0,0,0,0,0
Cinderella and the Four Knights,https://mydramalist.com/16119-cinderella-and-the-four-knights,Has its cute moments but a bit too cheesy and tropey. Nothing stand out but I didn’t want to drop it.,"['cute', 'moment', 'bit', 'cheesy', 'tropey', 'nothing', 'stand', 'didnt', 'want', 'drop']",0.0,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Cinderella at 2 AM,https://mydramalist.com/756753-cinderella-at-2-am,"started off very cute with an interesting premise but then the premise got kind of old after a while. the first 6-8 episodes are basically the main couple having the same conversation about whether or
not to break up over and over again. i did like the male lead a lot and the second couple was surprisingly cute, but the rest of the side characters were annoying. overall it had cute moments, good kiss scenes, and a fun OST but was just your average romcom kdrama.","['started', 'cute', 'interesting', 'premise', 'premise', 'got', 'kind', 'old', 'first', '68', 'episode', 'basically', 'main', 'couple', 'conversation', 'whether', 'break', 'like', 'male', 'lead', 'lot', 'second', 'couple', 'surprisingly', 'cute', 'rest', 'side', 'character', 'annoying', 'overall', 'cute', 'moment', 'good', 'kiss', 'scene', 'fun', 'ost', 'average', 'romcom', 'kdrama']",0.20729166666666668,,,,0.22752976190476193,,,,,,0.24138888888888888,,,,,,,,0.15059523809523812,1,1,0,0,1,0,0,0,0,0,1,0,0,0
Crash Course in Romance,https://mydramalist.com/723711-one-shot-scandal,"Started off really really strong but eventually it totally missed the mark. Marketed itself as romance but was actually about mental health and suicide, with a murder plot. But then it transitioned back to fluffy romance at the end in a way that felt completely jarring and tone deaf. Could have been a lot better but was just average for me.","['started', 'really', 'really', 'strong', 'eventually', 'totally', 'missed', 'mark', 'marketed', 'romance', 'actually', 'mental', 'health', 'suicide', 'murder', 'plot', 'transitioned', 'back', 'fluffy', 'romance', 'end', 'way', 'felt', 'completely', 'jarring', 'tone', 'deaf', 'could', 'lot', 'better', 'average']",0.06481481481481481,,0.10833333333333332,,,,,,,,,,0.06666666666666665,,,,0.11904761904761903,,,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Crash Landing on You,https://mydramalist.com/35729-emergency-lands-of-love,"Another drama that has it all - romance, humor, action, tears, and a great ensemble cast. The kdrama that truly made me fall in love with kdramas.","['another', 'drama', 'romance', 'humor', 'action', 'tear', 'great', 'ensemble', 'cast', 'kdrama', 'truly', 'made', 'fall', 'love', 'kdramas']",0.4666666666666666,,,,,,,0.475,,0.475,,,,,,,0.2333333333333333,,,1,0,0,0,1,0,1,0,0,1,0,0,0,0
D.P.,https://mydramalist.com/59001-d-p-dog-day,Underrated drama. Brilliant acting with an interesting story. Loved the diff vignettes of the defected soldiers. Jung hae in and his co lead are great. Could be a bit boring at times.,"['underrated', 'drama', 'brilliant', 'acting', 'interesting', 'story', 'loved', 'diff', 'vignette', 'defected', 'soldier', 'jung', 'hae', 'co', 'lead', 'great', 'could', 'bit', 'boring', 'time']",0.3166666666666666,,,,,,,,,,,,,0.31666666666666665,,,,0.575,,0,0,0,0,1,0,0,1,0,0,0,0,0,0
D.P. Season 2,https://mydramalist.com/713549-d-p-season-2,"Very well done drama, a good continuation of season 1. Jung hae in is always great, his co-lead lost a bit of his charm in s2 (but was dealing eith PTSD). Ending was sad in that nothing really changed but it felt realistic. Season 1 was probably better but this was still good.","['well', 'done', 'drama', 'good', 'continuation', 'season', '1', 'jung', 'hae', 'always', 'great', 'colead', 'lost', 'bit', 'charm', 's2', 'dealing', 'eith', 'ptsd', 'ending', 'sad', 'nothing', 'really', 'changed', 'felt', 'realistic', 'season', '1', 'probably', 'better', 'still', 'good']",0.3458333333333333,,,,,,,,,,,,,,,0.39,,,,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Dali and the Cocky Prince,https://mydramalist.com/687131-dali-and-gamjatang,"Cute romance, some funny moments, but the plot got too melodramatic most of the time. I wish there was more romance and less about the plot. Good kiss scenes tho! And an implied sex scene that was well done too","['cute', 'romance', 'funny', 'moment', 'plot', 'got', 'melodramatic', 'time', 'wish', 'romance', 'less', 'plot', 'good', 'kiss', 'scene', 'tho', 'implied', 'sex', 'scene', 'well', 'done']",0.40972222222222215,,,,,,,,,,,,0.4010416666666667,,,,0.4458333333333333,,0.19027777777777777,1,1,0,1,1,0,0,0,0,0,0,0,0,0
Death's Game,https://mydramalist.com/733445-i-will-die-soon,"There was a lot of hype around this show and I finally got around to watching it. I was especially excited about the all star cast and the rotating roster of cameos. But it was a huge letdown and was highly over-rated. It felt like a very heavy handed PSA against suicide without any real or nuanced deep dive into mental health or depression. And then it went from survival game to revenge plot, and all the twists became a bit too convenient toward the later episodes. Plus, there were major plot holes like why some reincarnations were not linear and why the main character did not change his fate during the 11th reincarnation when he was in the body of the man who ran into traffic on his interview day, setting off the initial chain of events. That made no sense, since Death told him he couldnt kill himself, but he literally did as that man. This drama falls into the same bucket as Squid Game — overly hyped action/thriller/horror drama on a major streaming platform that isn’t actually that original but follows a more ‘western’ TV formula that means it’ll probably end up being a crowd pleaser.","['lot', 'hype', 'around', 'show', 'finally', 'got', 'around', 'watching', 'especially', 'excited', 'star', 'cast', 'rotating', 'roster', 'cameo', 'huge', 'letdown', 'highly', 'overrated', 'felt', 'like', 'heavy', 'handed', 'psa', 'suicide', 'without', 'real', 'nuanced', 'deep', 'dive', 'mental', 'health', 'depression', 'went', 'survival', 'game', 'revenge', 'plot', 'twist', 'became', 'bit', 'convenient', 'toward', 'later', 'episode', 'plus', 'major', 'plot', 'hole', 'like', 'reincarnation', 'linear', 'main', 'character', 'change', 'fate', '11th', 'reincarnation', 'body', 'man', 'ran', 'traffic', 'interview', 'day', 'setting', 'initial', 'chain', 'event', 'made', 'sense', 'since', 'death', 'told', 'couldnt', 'kill', 'literally', 'man', 'drama', 'fall', 'bucket', 'squid', 'game', 'overly', 'hyped', 'actionthrillerhorror', 'drama', 'major', 'streaming', 'platform', 'isnt', 'actually', 'original', 'follows', 'western', 'tv', 'formula', 'mean', 'itll', 'probably', 'end', 'crowd', 'pleaser']",0.07583333333333334,,,,,,,0.20879629629629629,,,,,0.07651515151515151,,,,,,,0,0,0,0,1,0,1,0,0,1,0,0,0,0
Destined with You,https://mydramalist.com/734875-irresistible-love,"writing/plot had some major issues and holes here and there but ROWOON IS SO ADORABLE. he reallt hit his stride in this. the beginning episodes where he’s under the love spell are particularly adorable. also, this drama had one of the steamiest and most well doje sex scenes ive seen in kdramas. i will say, some of the side character plots felt useless and boring like with the mom/dad/lawyer and the orher office romance. overall its a fun watch.","['writingplot', 'major', 'issue', 'hole', 'rowoon', 'adorable', 'reallt', 'hit', 'stride', 'beginning', 'episode', 'he', 'love', 'spell', 'particularly', 'adorable', 'also', 'drama', 'one', 'steamiest', 'well', 'doje', 'sex', 'scene', 'ive', 'seen', 'kdramas', 'say', 'side', 'character', 'plot', 'felt', 'useless', 'boring', 'like', 'momdadlawyer', 'orher', 'office', 'romance', 'overall', 'fun', 'watch']",0.09583333333333334,,,,,,,,,,,,0.04791666666666667,,0.16205357142857144,,0.11517857142857144,,,1,0,0,0,1,0,0,1,0,0,0,0,0,0
Do You Like Brahms?,https://mydramalist.com/56911-do-you-like-brahms,Good kiss scenes. But super melodramatic and boring. Lots of dumb couple miscommunication. Main leads are boring. Whole plot is boring. Fast forwarded through the last few eps bc I didn’t care anymore.,"['good', 'kiss', 'scene', 'super', 'melodramatic', 'boring', 'lot', 'dumb', 'couple', 'miscommunication', 'main', 'lead', 'boring', 'whole', 'plot', 'boring', 'fast', 'forwarded', 'last', 'eps', 'bc', 'didnt', 'care', 'anymore']",-0.17954545454545456,,,,,,,,-0.19270833333333334,,-0.15937500000000002,,-0.19464285714285715,,,,,,0.21625,0,1,0,0,1,0,0,1,1,0,0,0,0,0
Doctor Cha,https://mydramalist.com/718109-doctor-cha-jung-sook,"Started off really good but I got a bit annoyed with how everyone lies to her and Dr. Cha is so apologetic all the time…having said that, had some hilarious moments especially in the beginning and middle. Happy ending.","['started', 'really', 'good', 'got', 'bit', 'annoyed', 'everyone', 'lie', 'dr', 'cha', 'apologetic', 'timehaving', 'said', 'hilarious', 'moment', 'especially', 'beginning', 'middle', 'happy', 'ending']",0.26666666666666666,,,,,,,,,,,,,,0.3,0.13333333333333333,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Doctor Slump,https://mydramalist.com/744311-doctor-slump,"such a beautiful, heartwarming, healing drama. the male lead is amazing — one of my favorite actors. he does romantic comedy so well. the female lead was also good — she was relatable and i was rooting for her throughout the drama. the ensemble cast, including the second couple and the family, were also great. i loved that the show dealt honestly with mental health. the drama made me laugh and also cry. after finishing i was so emotional and cried happy tears. nice ending. a drama ill be thinking about for a while.","['beautiful', 'heartwarming', 'healing', 'drama', 'male', 'lead', 'amazing', 'one', 'favorite', 'actor', 'romantic', 'comedy', 'well', 'female', 'lead', 'also', 'good', 'relatable', 'rooting', 'throughout', 'drama', 'ensemble', 'cast', 'including', 'second', 'couple', 'family', 'also', 'great', 'loved', 'show', 'dealt', 'honestly', 'mental', 'health', 'drama', 'made', 'laugh', 'also', 'cry', 'finishing', 'emotional', 'cried', 'happy', 'tear', 'nice', 'ending', 'drama', 'ill', 'thinking']",0.32499999999999996,0.3397727272727272,,,0.37916666666666665,,,0.325625,,0.325625,0.325,,,,,-0.06323529411764706,,,,1,0,0,1,1,1,1,0,0,0,0,0,1,0
Doona!,https://mydramalist.com/723247-lee-doo-na,"this reminded me of something in the rain: very romantic, couple has chemistry but is slightly more toxic than SITR, life gets in the way of their relationship, ambiguous open ended ending. Some of the cinematography is beautiful. The kiss/sex/emotional love confession scenes are very well done. the leads are good. bur a lot if underdeveloped and the plot suffers from classic kdrama character miscommunication. i mean, did doona really expect wonjun to be totally fine after she made a comeback and literally went radio silent for however long? so she was hella frustrating for sure. but at the same time, their scenes together did give me the feels and the male lead made me shed a tear. i wish it had been a happier ending, tho it wasnt a totally sad one.","['reminded', 'something', 'rain', 'romantic', 'couple', 'chemistry', 'slightly', 'toxic', 'sitr', 'life', 'get', 'way', 'relationship', 'ambiguous', 'open', 'ended', 'ending', 'cinematography', 'beautiful', 'kisssexemotional', 'love', 'confession', 'scene', 'well', 'done', 'lead', 'good', 'bur', 'lot', 'underdeveloped', 'plot', 'suffers', 'classic', 'kdrama', 'character', 'miscommunication', 'mean', 'doona', 'really', 'expect', 'wonjun', 'totally', 'fine', 'made', 'comeback', 'literally', 'went', 'radio', 'silent', 'however', 'long', 'hella', 'frustrating', 'sure', 'time', 'scene', 'together', 'give', 'feel', 'male', 'lead', 'made', 'shed', 'tear', 'wish', 'happier', 'ending', 'tho', 'wasnt', 'totally', 'sad', 'one']",0.11425438596491229,,,,-0.17144607843137255,,,,,,0.060300925925925924,,0.17229662698412698,,,0.135546875,,,0.19611111111111112,1,1,0,0,1,0,1,0,1,0,0,0,0,0
Dreaming of a Freaking Fairytale,https://mydramalist.com/754061-she-dreams-of-cinderella,"Binged this show in a week. I actually really enjoyed it. It was short, and kind of cliche, but well executed with good chemistry, steamy kisses, some laugh out loud moments, and good acting. overall just a fun and enjoyable watch.","['binged', 'show', 'week', 'actually', 'really', 'enjoyed', 'short', 'kind', 'cliche', 'well', 'executed', 'good', 'chemistry', 'steamy', 'kiss', 'laugh', 'loud', 'moment', 'good', 'acting', 'overall', 'fun', 'enjoyable', 'watch']",0.33636363636363636,,,,,,,,,,,,,,,,,0.3404761904761905,0.36071428571428577,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Extracurricular,https://mydramalist.com/34221-human-lessons,Wow. Super fast paced interesting story. Pretty tragic. Main leads acting is really good. Suspenseful. This was a binge watch for sure.,"['wow', 'super', 'fast', 'paced', 'interesting', 'story', 'pretty', 'tragic', 'main', 'lead', 'acting', 'really', 'good', 'suspenseful', 'binge', 'watch', 'sure']",0.18181818181818182,,,,,,,,0.20277777777777778,,,,,0.20357142857142857,,,,0.2571428571428571,,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Extraordinary Attorney Woo,https://mydramalist.com/705723-strange-lawyer-woo-young-woo,Super cute wholesome heartwarming show. Some plots kind of annoying like with the dick lawyer and some of the cases iffy. But overall great and great ensemble cast,"['super', 'cute', 'wholesome', 'heartwarming', 'show', 'plot', 'kind', 'annoying', 'like', 'dick', 'lawyer', 'case', 'iffy', 'overall', 'great', 'great', 'ensemble', 'cast']",0.3190476190476191,,,,,,,0.15952380952380954,,0.15952380952380954,,,0.3483333333333333,,,,,,,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Extraordinary You,https://mydramalist.com/33768-july-found-by-chance,The drama that made me fall in love with Rowoon. Clever story and writing. Good cast. Dragged a little bit here and there.,"['drama', 'made', 'fall', 'love', 'rowoon', 'clever', 'story', 'writing', 'good', 'cast', 'dragged', 'little', 'bit']",0.2947916666666667,,,,,,,0.13402777777777777,,,,,,0.2947916666666667,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Family by Choice,https://mydramalist.com/751097-a-prefabricated-family,"A very wholesome family drama with all the feels and so many tears. I really loved how the show approached the idea of chosen family. It definitely leaned heavily on melodrama and had some terrible characters, like Sanha’s mother, but it also had really warm characters that you could root for, some very genuine emotional scenes, and some really good acting. Both main couples were cute, and the relationship between the three main leads is very fun and their relationship with their dads is really sweet. It was wrapped up perhaps a bit too neatly at the end, but for all the trauma these characters were put through, I’m not mad about the simple happy ending.","['wholesome', 'family', 'drama', 'feel', 'many', 'tear', 'really', 'loved', 'show', 'approached', 'idea', 'chosen', 'family', 'definitely', 'leaned', 'heavily', 'melodrama', 'terrible', 'character', 'like', 'sanhas', 'mother', 'also', 'really', 'warm', 'character', 'could', 'root', 'genuine', 'emotional', 'scene', 'really', 'good', 'acting', 'main', 'couple', 'cute', 'relationship', 'three', 'main', 'lead', 'fun', 'relationship', 'dad', 'really', 'sweet', 'wrapped', 'perhaps', 'bit', 'neatly', 'end', 'trauma', 'character', 'put', 'im', 'mad', 'simple', 'happy', 'ending']",0.24241228070175436,,,,,,,,0.28473717948717947,,0.26688492063492064,,,,,0.12120614035087718,,0.2638645833333333,,1,0,0,0,1,1,1,0,0,0,0,0,0,1
